title,thumb,image,text,video,link,linktext
Spirit Island at Maligne Lake,images/Spirit.jpeg,images/SpiritIsland.png,"As we traveled along our journey, we met Dr. Rebekah Ingram, an expert at Carleton University on Indigenous languages, who said, when discussing the meaning and origins of Indigenous words, “The way that I had been thinking was based exclusively on the viewpoint of the world that I did not even know that I had; we were not being critical of our own information sources.”",https://youtu.be/vweT3ILNVQw,,
Royal Canadian Legion,images/RoyalCanadianLegionValemount.jpg,images/Legion2.jpg,"At the Valemount Royal Canadian Legion we met Zoe, an inspirational girl who loved her dirt bike and snowmobile.",,https://www.canada.ca/en/department-national-defence/services/cadets-junior-canadian-rangers/junior-canadian-rangers.html,She was a member of the Junior Canadian Rangers
Encampment in Prince George,images/PrinceGeorgeHomelessCamp.jpeg,images/PrinceGeorgeHomelessCamp.jpeg,"Prince George had a large tent encampment of homeless people, a complex challenge caused by problems with housing affordability, addiction and other issues.",,https://www.cbc.ca/news/canada/british-columbia/prince-george-homeless-camp-shut-down-9.6951289,"This camp was actually closed down in 2025, under the condition that the 20 residents at the time were found suitable accomodation and didn't apply for an exemption."
Mike Retasket and Cheryl Chapman,images/MikeAndCheryl.jpg,images/MikeAndCheryl.jpg,"Golibe: I saw courage in Mike Retasket, a Leader of the Bonaparte Indigenous nation in British Columbia. Everyday, he relives his painful emotional life experiences growing up as he pursues his vision of truth and reconciliation. Mike introduced us to the seven generation concept.
Omar: Mike went to the forest this morning. He collected the herbs he needed and he left the rest for the ones who came after.",,,
Ceremony,images/CeremonyText.png,images/CeremonyText.png,Ceremony was a key part of reinforcing culture. We also saw the importance of play to keep people enagaged.,,,
Sky Pilot Suspension Bridge,images/SeaToSky.gif,images/SeaToSky.gif,Gorgeous views from the Sea to Sky,images/SeaToSky.mp4,,
Whistler,images/RukiaWhistler.png,images/RukiaWhistler.png,We heard about the tourism industry in Whistler,,,
Nature Garden at UBC,images/NatureGarden.jpeg,images/NatureGarden.jpeg,The Nature Garden at UBC,,,
The Longhouse,images/LonghouseSLCC.jpeg,images/LonghouseSLCC.jpeg,"Nicole: Heather Paul from the SLCC said “ Love the Person, Hate the System” Colonial system has set people up to have prejudices against indigenous peoples Muhammed: Employment rate in Squamish is under 1% for indigenous people but SLCC (Squamish Lil’wat Cultural Centre) employ 94% from indigenous communities.",,,
Port of Vancouver,images/Crane.jpeg,images/Crane.jpeg,We were hosted by the BC Maritime Employers Association (BCMEA),,,
Grouse Grind,images/Grouse.jpeg,images/Grouse.jpeg,The stairmaster from hell! 2.4k horizontal and 786m vertical. Climbed with a great guy called Edward who I met on the trail,,https://www.strava.com/activities/9267825740,The Strava Activity
The Dinner,images/DinnerImage.jpg,images/DinnerImage.jpg,After the presentations there was a dinner with all the study groups and CSC Alumni,,,
Our last meal together!,images/RoofDinner1.jpg,images/RoofDinner2.jpg,Overlooking Montreal,,,
